ggct_cnv	ggct_exp
0	10.7679
0.108	10.4269
0.273	10.2514
0	10.7674
0.115	10.3273
0.258	10.7456
0.339	10.8644
0.063	10.0225
0.035	10.089
0.004	9.4403
0.088	10.1781
0.697	10.8683
0.633	10.6845
-0.004	9.7488
0.184	10.2448
0.318	10.9559
0.027	11.2032
0.413	10.1388
0.027	9.8043
0.994	10.7915
0.066	9.2172
-0.008	9.0723
0.038	9.1923
0.079	10.6564
0.144	10.4131
0.729	11.563
0.321	11.0543
0.206	10.6008
0.004	10.267
0.075	10.6617
0.233	9.6315
0.234	10.5123
0.033	10.4711
0.09	10.0305
0.107	10.7418
0.006	11.995
0.375	11.1257
0.727	11.3824
0.182	10.4982
0.587	10.8868
0.58	9.602
-0.001	9.0613
-0.036	9.5157
0.642	9.6343
0.134	10.459
0.127	10.2625
-0.005	10.2437
0.495	10.698
0.722	10.8298
0.139	10.3125
0.162	9.9936
0.643	9.8364
0.384	10.2523
0.645	10.1868
0.032	11.1092
0.011	10.145
-0.511	10.3325
0.443	11.0374
0.016	10.1064
1.823	13.1841
0.286	11.269
0.015	10.2417
0.367	10.5036
0.118	10.8792
0.121	10.2487
0.522	10.2889
0.055	9.7867
0.717	11.91
0	9.9225
0.008	10.0624
0	9.8796
-0.042	9.9599
0.014	9.7146
0.118	10.8264
0.344	9.8221
1.489	11.2042
0.025	13.4883
0.411	10.4847
-0.232	10.2556
0.003	9.4911
0	10.5864
0.001	8.5971
-0.003	10.5557
0.002	9.9299
0.02	9.4081
0.97	11.022
0.238	10.3172
-0.02	10.1936
0.114	9.3897
0.118	10.2172
-0.006	10.4182
-0.013	9.4393
0.506	9.4658
0.008	10.5687
-0.092	10.9545
0.019	10.3956
0.38	10.8361
0	9.8435
0.826	11.3111
0.012	10.8736
0.34	10.5608
0.561	10.8088
-0.028	10.6968
0.068	10.1612
0.083	9.0756
0.001	9.0603
0.247	10.2412
0.336	10.7941
0.006	10.2922
1.195	11.703
0.06	9.8009
-0.01	10.6158
0.96	10.9037
0.05	9.7115
0.384	9.3378
-0.067	9.0812
0.245	9.5557
0.057	9.3599
0.047	9.6926
-0.174	9.7857
-0.136	9.4039
0.006	9.724
-0.009	9.2246
0.839	10.689
0.321	9.7155
1.309	11.2258
-0.001	9.4897
0.062	10.7304
0.008	11.1375
0.568	10.0053
0.329	10.6302
0.079	10.9349
0.575	11.454
-0.001	8.8288
0.471	10.1387
0.073	10.1761
0.774	10.9487
0.02	9.3842
-0.732	9.2494
0.089	10.1447
0.108	10.0309
0.312	10.3314
0.184	10.6098
0.916	12.5412
-0.002	10.1368
-0.127	10.9732
2.689	11.6472
-0.011	9.8325
1.544	11.4403
0.429	9.785
0.544	10.5623
0.136	10.626
1.271	10.9287
0.409	9.9722
0.175	10.5357
1.057	11.1732
0.566	10.4817
0.226	9.6893
0.588	10.3995
